"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"1",1,FALSE,"dtree",0.00999999977648258,100,0,1,2,4,0,383,3,43,32,32
"2",1,TRUE,"dtree",0.00999999977648258,100,0,4,2,4,0,395,0,54,25,16
"3",1,FALSE,"dtree",0.100000001490116,100,0,3,0,5,0,388,2,41,30,31
"4",1,TRUE,"dtree",0.100000001490116,100,0,4,3,4,0,397,0,40,25,27
"5",1,FALSE,"dtree",1,100,0,2,4,4,0,413,0,32,23,22
"6",1,TRUE,"dtree",1,100,0,1,2,4,0,438,0,16,20,19
"7",1,FALSE,"dtree",10,100,1,2,16,30,1,349,2,30,43,26
"8",1,TRUE,"dtree",10,100,0,1,3,17,0,401,0,22,43,13
"9",1,FALSE,"dirichlet",0.00999999977648258,100,47,55,52,49,39,54,48,40,61,55
"10",1,TRUE,"dirichlet",0.00999999977648258,100,15,30,22,45,10,132,33,51,69,93
"11",1,FALSE,"dirichlet",0.100000001490116,100,39,45,47,46,49,41,45,52,53,83
"12",1,TRUE,"dirichlet",0.100000001490116,100,8,29,25,63,12,132,31,64,74,62
"13",1,FALSE,"dirichlet",1,100,51,40,52,53,39,51,47,53,61,53
"14",1,TRUE,"dirichlet",1,100,12,33,25,50,5,162,35,72,46,60
"15",1,FALSE,"dirichlet",10,100,47,46,39,53,56,57,49,44,40,69
"16",1,TRUE,"dirichlet",10,100,16,32,35,54,7,132,37,54,50,83
"17",1,FALSE,"dtree",0.00999999977648258,200,0,3,0,10,0,410,0,44,26,7
"18",1,TRUE,"dtree",0.00999999977648258,200,0,0,0,4,0,435,0,41,18,2
"19",1,FALSE,"dtree",0.100000001490116,200,0,0,3,14,0,420,0,35,20,8
"20",1,TRUE,"dtree",0.100000001490116,200,0,0,0,5,0,435,0,36,19,5
"21",1,FALSE,"dtree",1,200,0,1,2,13,0,425,0,17,31,11
"22",1,TRUE,"dtree",1,200,0,0,0,6,0,458,0,16,18,2
"23",1,FALSE,"dtree",10,200,0,0,2,11,0,408,0,28,43,8
"24",1,TRUE,"dtree",10,200,0,0,1,5,0,459,0,16,16,3
"25",1,FALSE,"dirichlet",0.00999999977648258,200,46,48,47,55,50,60,53,35,46,60
"26",1,TRUE,"dirichlet",0.00999999977648258,200,1,21,13,56,1,248,6,64,52,38
"27",1,FALSE,"dirichlet",0.100000001490116,200,57,50,43,41,47,47,48,49,52,66
"28",1,TRUE,"dirichlet",0.100000001490116,200,4,23,15,47,1,251,6,68,51,34
"29",1,FALSE,"dirichlet",1,200,47,49,57,39,44,48,45,43,70,58
"30",1,TRUE,"dirichlet",1,200,1,21,13,54,4,256,2,63,52,34
"31",1,FALSE,"dirichlet",10,200,38,50,46,58,49,51,49,59,41,59
"32",1,TRUE,"dirichlet",10,200,5,22,15,36,2,269,6,74,46,25
"33",1,FALSE,"dtree",0.00999999977648258,300,0,1,0,1,0,451,0,46,1,0
"34",1,TRUE,"dtree",0.00999999977648258,300,0,0,0,0,0,482,0,18,0,0
"35",1,FALSE,"dtree",0.100000001490116,300,0,2,0,1,0,455,0,39,2,1
"36",1,TRUE,"dtree",0.100000001490116,300,0,0,0,0,0,490,0,10,0,0
"37",1,FALSE,"dtree",1,300,0,0,0,1,0,474,0,21,3,1
"38",1,TRUE,"dtree",1,300,0,0,0,0,0,491,0,9,0,0
"39",1,FALSE,"dtree",10,300,0,0,1,1,0,467,0,28,3,0
"40",1,TRUE,"dtree",10,300,0,0,0,0,0,493,0,7,0,0
"41",1,FALSE,"dirichlet",0.00999999977648258,300,37,53,55,39,64,48,57,42,57,48
"42",1,TRUE,"dirichlet",0.00999999977648258,300,0,5,1,5,0,407,0,70,11,1
"43",1,FALSE,"dirichlet",0.100000001490116,300,41,48,49,45,54,54,68,42,47,52
