"","usingObserved","treeType","scale","counted","numWins"
"1",FALSE,"Dirichlet Tree",1,20,0
"2",TRUE,"Dirichlet Tree",1,20,0
"3",FALSE,"Dirichlet Tree",2,20,1
"4",TRUE,"Dirichlet Tree",2,20,2
"5",FALSE,"Dirichlet Tree",3,20,1
"6",TRUE,"Dirichlet Tree",3,20,0
"7",FALSE,"Dirichlet",1,20,1
"8",TRUE,"Dirichlet",1,20,1
"9",FALSE,"Dirichlet",2,20,1
"10",TRUE,"Dirichlet",2,20,0
"11",FALSE,"Dirichlet",3,20,2
"12",TRUE,"Dirichlet",3,20,0
"13",FALSE,"Dirichlet Tree",1,40,2
"14",TRUE,"Dirichlet Tree",1,40,4
"15",FALSE,"Dirichlet Tree",2,40,4
"16",TRUE,"Dirichlet Tree",2,40,4
"17",FALSE,"Dirichlet Tree",3,40,6
"18",TRUE,"Dirichlet Tree",3,40,3
"19",FALSE,"Dirichlet",1,40,4
"20",TRUE,"Dirichlet",1,40,5
"21",FALSE,"Dirichlet",2,40,0
"22",TRUE,"Dirichlet",2,40,2
"23",FALSE,"Dirichlet",3,40,0
"24",TRUE,"Dirichlet",3,40,1
"25",FALSE,"Dirichlet Tree",1,60,3
"26",TRUE,"Dirichlet Tree",1,60,3
"27",FALSE,"Dirichlet Tree",2,60,5
"28",TRUE,"Dirichlet Tree",2,60,6
"29",FALSE,"Dirichlet Tree",3,60,3
"30",TRUE,"Dirichlet Tree",3,60,5
"31",FALSE,"Dirichlet",1,60,4
"32",TRUE,"Dirichlet",1,60,4
"33",FALSE,"Dirichlet",2,60,0
"34",TRUE,"Dirichlet",2,60,2
"35",FALSE,"Dirichlet",3,60,1
"36",TRUE,"Dirichlet",3,60,0
"37",FALSE,"Dirichlet Tree",1,80,3
"38",TRUE,"Dirichlet Tree",1,80,5
"39",FALSE,"Dirichlet Tree",2,80,6
"40",TRUE,"Dirichlet Tree",2,80,5
"41",FALSE,"Dirichlet Tree",3,80,4
"42",TRUE,"Dirichlet Tree",3,80,5
"43",FALSE,"Dirichlet",1,80,2
"44",TRUE,"Dirichlet",1,80,1
"45",FALSE,"Dirichlet",2,80,2
"46",TRUE,"Dirichlet",2,80,1
"47",FALSE,"Dirichlet",3,80,1
"48",TRUE,"Dirichlet",3,80,1
"49",FALSE,"Dirichlet Tree",1,100,5
"50",TRUE,"Dirichlet Tree",1,100,3
"51",FALSE,"Dirichlet Tree",2,100,6
"52",TRUE,"Dirichlet Tree",2,100,6
"53",FALSE,"Dirichlet Tree",3,100,6
"54",TRUE,"Dirichlet Tree",3,100,6
"55",FALSE,"Dirichlet",1,100,4
"56",TRUE,"Dirichlet",1,100,3
"57",FALSE,"Dirichlet",2,100,0
"58",TRUE,"Dirichlet",2,100,1
"59",FALSE,"Dirichlet",3,100,0
"60",TRUE,"Dirichlet",3,100,1
"61",FALSE,"Dirichlet Tree",1,120,2
"62",TRUE,"Dirichlet Tree",1,120,3
"63",FALSE,"Dirichlet Tree",2,120,8
"64",TRUE,"Dirichlet Tree",2,120,6
"65",FALSE,"Dirichlet Tree",3,120,5
"66",TRUE,"Dirichlet Tree",3,120,5
"67",FALSE,"Dirichlet",1,120,5
"68",TRUE,"Dirichlet",1,120,4
"69",FALSE,"Dirichlet",2,120,1
"70",TRUE,"Dirichlet",2,120,2
"71",FALSE,"Dirichlet",3,120,0
"72",TRUE,"Dirichlet",3,120,1
"73",FALSE,"Dirichlet Tree",1,140,5
"74",TRUE,"Dirichlet Tree",1,140,3
"75",FALSE,"Dirichlet Tree",2,140,5
"76",TRUE,"Dirichlet Tree",2,140,6
"77",FALSE,"Dirichlet Tree",3,140,6
"78",TRUE,"Dirichlet Tree",3,140,6
"79",FALSE,"Dirichlet",1,140,5
"80",TRUE,"Dirichlet",1,140,5
"81",FALSE,"Dirichlet",2,140,2
"82",TRUE,"Dirichlet",2,140,6
"83",FALSE,"Dirichlet",3,140,0
"84",TRUE,"Dirichlet",3,140,4
"85",FALSE,"Dirichlet Tree",1,160,4
"86",TRUE,"Dirichlet Tree",1,160,2
"87",FALSE,"Dirichlet Tree",2,160,1
"88",TRUE,"Dirichlet Tree",2,160,3
"89",FALSE,"Dirichlet Tree",3,160,5
"90",TRUE,"Dirichlet Tree",3,160,5
"91",FALSE,"Dirichlet",1,160,3
"92",TRUE,"Dirichlet",1,160,3
"93",FALSE,"Dirichlet",2,160,1
"94",TRUE,"Dirichlet",2,160,0
"95",FALSE,"Dirichlet",3,160,0
"96",TRUE,"Dirichlet",3,160,0
"97",FALSE,"Dirichlet Tree",1,180,3
"98",TRUE,"Dirichlet Tree",1,180,1
"99",FALSE,"Dirichlet Tree",2,180,3
"100",TRUE,"Dirichlet Tree",2,180,2
"101",FALSE,"Dirichlet Tree",3,180,4
"102",TRUE,"Dirichlet Tree",3,180,4
"103",FALSE,"Dirichlet",1,180,2
"104",TRUE,"Dirichlet",1,180,0
"105",FALSE,"Dirichlet",2,180,2
"106",TRUE,"Dirichlet",2,180,1
"107",FALSE,"Dirichlet",3,180,0
