"","usingObserved","treeType","scale","counted","numWins"
"1",FALSE,"tree",0.01,100,52
"2",TRUE,"tree",0.01,100,57
"3",FALSE,"tree",0.1,100,61
"4",TRUE,"tree",0.1,100,53
"5",FALSE,"tree",1,100,64
"6",TRUE,"tree",1,100,74
"7",FALSE,"tree",10,100,61
"8",TRUE,"tree",10,100,62
"9",FALSE,"tree",100,100,54
"10",TRUE,"tree",100,100,53
"11",FALSE,"dirichlet",0.01,100,47
"12",TRUE,"dirichlet",0.01,100,40
"13",FALSE,"dirichlet",0.1,100,43
"14",TRUE,"dirichlet",0.1,100,52
"15",FALSE,"dirichlet",1,100,38
"16",TRUE,"dirichlet",1,100,54
"17",FALSE,"dirichlet",10,100,42
"18",TRUE,"dirichlet",10,100,47
"19",FALSE,"dirichlet",100,100,46
"20",TRUE,"dirichlet",100,100,54
"21",FALSE,"tree",0.01,200,81
"22",TRUE,"tree",0.01,200,84
"23",FALSE,"tree",0.1,200,79
"24",TRUE,"tree",0.1,200,88
"25",FALSE,"tree",1,200,86
"26",TRUE,"tree",1,200,83
"27",FALSE,"tree",10,200,82
"28",TRUE,"tree",10,200,88
"29",FALSE,"tree",100,200,77
"30",TRUE,"tree",100,200,79
"31",FALSE,"dirichlet",0.01,200,43
"32",TRUE,"dirichlet",0.01,200,68
"33",FALSE,"dirichlet",0.1,200,51
"34",TRUE,"dirichlet",0.1,200,79
"35",FALSE,"dirichlet",1,200,60
"36",TRUE,"dirichlet",1,200,70
"37",FALSE,"dirichlet",10,200,65
"38",TRUE,"dirichlet",10,200,70
"39",FALSE,"dirichlet",100,200,55
"40",TRUE,"dirichlet",100,200,66
"41",FALSE,"tree",0.01,300,89
"42",TRUE,"tree",0.01,300,97
"43",FALSE,"tree",0.1,300,86
"44",TRUE,"tree",0.1,300,95
"45",FALSE,"tree",1,300,89
"46",TRUE,"tree",1,300,91
"47",FALSE,"tree",10,300,86
"48",TRUE,"tree",10,300,98
"49",FALSE,"tree",100,300,76
"50",TRUE,"tree",100,300,85
"51",FALSE,"dirichlet",0.01,300,60
"52",TRUE,"dirichlet",0.01,300,82
"53",FALSE,"dirichlet",0.1,300,62
"54",TRUE,"dirichlet",0.1,300,82
"55",FALSE,"dirichlet",1,300,55
"56",TRUE,"dirichlet",1,300,87
"57",FALSE,"dirichlet",10,300,60
