"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4"
"1",1,FALSE,"dtree",0.00999999977648258,10,445,19,58,453
"2",1,TRUE,"dtree",0.00999999977648258,10,433,13,56,473
"3",1,FALSE,"dtree",0.100000001490116,10,423,16,63,473
"4",1,TRUE,"dtree",0.100000001490116,10,422,19,58,476
"5",1,FALSE,"dtree",1,10,377,32,91,475
"6",1,TRUE,"dtree",1,10,378,30,99,468
"7",1,FALSE,"dtree",10,10,303,102,173,397
"8",1,TRUE,"dtree",10,10,308,102,164,401
"9",1,FALSE,"dtree",100,10,258,178,229,310
"10",1,TRUE,"dtree",100,10,280,177,216,302
"11",1,FALSE,"dirichlet",0.00999999977648258,10,450,15,56,454
"12",1,TRUE,"dirichlet",0.00999999977648258,10,444,18,59,454
"13",1,FALSE,"dirichlet",0.100000001490116,10,415,42,95,423
"14",1,TRUE,"dirichlet",0.100000001490116,10,425,41,100,409
"15",1,FALSE,"dirichlet",1,10,360,136,180,299
"16",1,TRUE,"dirichlet",1,10,333,128,169,345
"17",1,FALSE,"dirichlet",10,10,277,199,236,263
"18",1,TRUE,"dirichlet",10,10,290,183,210,292
"19",1,FALSE,"dirichlet",100,10,231,261,225,258
"20",1,TRUE,"dirichlet",100,10,269,203,216,287
"21",1,FALSE,"dtree",0.00999999977648258,20,23,93,19,840
"22",1,TRUE,"dtree",0.00999999977648258,20,20,90,23,842
"23",1,FALSE,"dtree",0.100000001490116,20,23,86,23,843
"24",1,TRUE,"dtree",0.100000001490116,20,22,81,16,856
"25",1,FALSE,"dtree",1,20,36,114,29,796
"26",1,TRUE,"dtree",1,20,34,99,36,806
"27",1,FALSE,"dtree",10,20,92,191,77,615
"28",1,TRUE,"dtree",10,20,78,186,85,626
"29",1,FALSE,"dtree",100,20,181,236,181,377
"30",1,TRUE,"dtree",100,20,177,229,159,410
"31",1,FALSE,"dirichlet",0.00999999977648258,20,26,94,25,830
"32",1,TRUE,"dirichlet",0.00999999977648258,20,21,87,21,846
"33",1,FALSE,"dirichlet",0.100000001490116,20,48,132,53,742
"34",1,TRUE,"dirichlet",0.100000001490116,20,37,128,40,770
"35",1,FALSE,"dirichlet",1,20,128,228,121,498
"36",1,TRUE,"dirichlet",1,20,120,231,108,516
"37",1,FALSE,"dirichlet",10,20,218,232,231,294
"38",1,TRUE,"dirichlet",10,20,190,264,141,380
"39",1,FALSE,"dirichlet",100,20,219,227,232,297
"40",1,TRUE,"dirichlet",100,20,221,248,184,322
"41",1,FALSE,"dtree",0.00999999977648258,30,28,154,11,782
"42",1,TRUE,"dtree",0.00999999977648258,30,22,143,11,799
"43",1,FALSE,"dtree",0.100000001490116,30,25,164,5,781
"44",1,TRUE,"dtree",0.100000001490116,30,21,149,7,798
"45",1,FALSE,"dtree",1,30,29,196,16,734
"46",1,TRUE,"dtree",1,30,32,169,15,759
"47",1,FALSE,"dtree",10,30,62,244,52,617
"48",1,TRUE,"dtree",10,30,60,244,29,642
"49",1,FALSE,"dtree",100,30,165,284,151,375
"50",1,TRUE,"dtree",100,30,146,267,113,449
"51",1,FALSE,"dirichlet",0.00999999977648258,30,27,167,14,767
"52",1,TRUE,"dirichlet",0.00999999977648258,30,19,165,15,776
"53",1,FALSE,"dirichlet",0.100000001490116,30,40,196,26,713
"54",1,TRUE,"dirichlet",0.100000001490116,30,38,184,19,734
"55",1,FALSE,"dirichlet",1,30,118,285,82,490
"56",1,TRUE,"dirichlet",1,30,87,274,82,532
"57",1,FALSE,"dirichlet",10,30,199,295,172,309
"58",1,TRUE,"dirichlet",10,30,162,310,118,385
"59",1,FALSE,"dirichlet",100,30,249,251,215,260
"60",1,TRUE,"dirichlet",100,30,178,295,157,345
"61",1,FALSE,"dtree",0.00999999977648258,40,2,177,3,793
"62",1,TRUE,"dtree",0.00999999977648258,40,3,170,3,799
"63",1,FALSE,"dtree",0.100000001490116,40,2,190,2,781
"64",1,TRUE,"dtree",0.100000001490116,40,2,193,0,780
"65",1,FALSE,"dtree",1,40,4,217,3,751
"66",1,TRUE,"dtree",1,40,3,207,3,762
"67",1,FALSE,"dtree",10,40,12,301,14,648
"68",1,TRUE,"dtree",10,40,11,286,22,656
"69",1,FALSE,"dtree",100,40,115,316,138,406
"70",1,TRUE,"dtree",100,40,81,339,81,474
"71",1,FALSE,"dirichlet",0.00999999977648258,40,2,180,4,789
"72",1,TRUE,"dirichlet",0.00999999977648258,40,3,179,4,789
"73",1,FALSE,"dirichlet",0.100000001490116,40,3,213,11,748
"74",1,TRUE,"dirichlet",0.100000001490116,40,4,206,11,754
"75",1,FALSE,"dirichlet",1,40,29,304,64,578
"76",1,TRUE,"dirichlet",1,40,24,298,47,606
"77",1,FALSE,"dirichlet",10,40,171,319,170,315
"78",1,TRUE,"dirichlet",10,40,93,349,125,408
"79",1,FALSE,"dirichlet",100,40,236,247,239,253
"80",1,TRUE,"dirichlet",100,40,140,294,134,407
"81",1,FALSE,"dtree",0.00999999977648258,50,2,98,1,874
"82",1,TRUE,"dtree",0.00999999977648258,50,3,93,3,876
"83",1,FALSE,"dtree",0.100000001490116,50,2,104,1,868
"84",1,TRUE,"dtree",0.100000001490116,50,4,86,1,884
"85",1,FALSE,"dtree",1,50,7,128,4,836
"86",1,TRUE,"dtree",1,50,5,111,2,857
"87",1,FALSE,"dtree",10,50,24,240,13,698
"88",1,TRUE,"dtree",10,50,14,193,7,761
"89",1,FALSE,"dtree",100,50,159,290,98,428
"90",1,TRUE,"dtree",100,50,92,281,69,533
"91",1,FALSE,"dirichlet",0.00999999977648258,50,3,99,3,870
"92",1,TRUE,"dirichlet",0.00999999977648258,50,3,84,2,886
"93",1,FALSE,"dirichlet",0.100000001490116,50,11,108,3,853
"94",1,TRUE,"dirichlet",0.100000001490116,50,3,93,3,876
"95",1,FALSE,"dirichlet",1,50,37,199,49,690
"96",1,TRUE,"dirichlet",1,50,25,184,38,728
"97",1,FALSE,"dirichlet",10,50,165,264,136,410
"98",1,TRUE,"dirichlet",10,50,90,279,111,495
"99",1,FALSE,"dirichlet",100,50,241,235,218,281
"100",1,TRUE,"dirichlet",100,50,124,295,120,436
"101",1,FALSE,"dtree",0.00999999977648258,60,4,75,0,896
"102",1,TRUE,"dtree",0.00999999977648258,60,2,69,0,904
"103",1,FALSE,"dtree",0.100000001490116,60,3,77,0,895
"104",1,TRUE,"dtree",0.100000001490116,60,1,62,0,912
"105",1,FALSE,"dtree",1,60,4,100,2,869
"106",1,TRUE,"dtree",1,60,1,78,0,896
"107",1,FALSE,"dtree",10,60,18,218,5,734
"108",1,TRUE,"dtree",10,60,9,171,0,795
"109",1,FALSE,"dtree",100,60,120,305,72,478
"110",1,TRUE,"dtree",100,60,61,281,44,589
"111",1,FALSE,"dirichlet",0.00999999977648258,60,3,79,1,892
"112",1,TRUE,"dirichlet",0.00999999977648258,60,0,57,0,918
"113",1,FALSE,"dirichlet",0.100000001490116,60,4,86,0,885
"114",1,TRUE,"dirichlet",0.100000001490116,60,3,80,1,891
"115",1,FALSE,"dirichlet",1,60,35,170,21,749
"116",1,TRUE,"dirichlet",1,60,29,132,12,802
"117",1,FALSE,"dirichlet",10,60,168,320,137,350
"118",1,TRUE,"dirichlet",10,60,74,265,78,558
"119",1,FALSE,"dirichlet",100,60,228,222,239,286
"120",1,TRUE,"dirichlet",100,60,116,305,94,460
"121",1,FALSE,"dtree",0.00999999977648258,70,1,41,0,933
"122",1,TRUE,"dtree",0.00999999977648258,70,0,30,0,945
"123",1,FALSE,"dtree",0.100000001490116,70,1,38,0,936
"124",1,TRUE,"dtree",0.100000001490116,70,2,30,1,942
"125",1,FALSE,"dtree",1,70,0,60,1,914
"126",1,TRUE,"dtree",1,70,1,33,2,939
"127",1,FALSE,"dtree",10,70,9,113,2,851
"128",1,TRUE,"dtree",10,70,2,105,2,866
"129",1,FALSE,"dtree",100,70,107,265,61,542
"130",1,TRUE,"dtree",100,70,39,186,30,720
"131",1,FALSE,"dirichlet",0.00999999977648258,70,3,42,0,930
"132",1,TRUE,"dirichlet",0.00999999977648258,70,1,34,1,939
"133",1,FALSE,"dirichlet",0.100000001490116,70,1,46,1,927
"134",1,TRUE,"dirichlet",0.100000001490116,70,0,29,1,945
"135",1,FALSE,"dirichlet",1,70,12,123,20,820
"136",1,TRUE,"dirichlet",1,70,6,80,8,881
"137",1,FALSE,"dirichlet",10,70,147,257,132,439
"138",1,TRUE,"dirichlet",10,70,62,241,51,621
"139",1,FALSE,"dirichlet",100,70,210,246,238,281
"140",1,TRUE,"dirichlet",100,70,95,255,96,529
"141",1,FALSE,"dtree",0.00999999977648258,80,1,52,2,920
"142",1,TRUE,"dtree",0.00999999977648258,80,0,39,1,935
"143",1,FALSE,"dtree",0.100000001490116,80,4,56,2,913
"144",1,TRUE,"dtree",0.100000001490116,80,0,39,0,936
"145",1,FALSE,"dtree",1,80,1,63,0,911
"146",1,TRUE,"dtree",1,80,0,47,0,928
"147",1,FALSE,"dtree",10,80,10,136,2,827
"148",1,TRUE,"dtree",10,80,4,85,0,886
"149",1,FALSE,"dtree",100,80,92,269,60,554
"150",1,TRUE,"dtree",100,80,43,201,20,711
"151",1,FALSE,"dirichlet",0.00999999977648258,80,1,51,1,922
"152",1,TRUE,"dirichlet",0.00999999977648258,80,0,39,0,936
"153",1,FALSE,"dirichlet",0.100000001490116,80,2,66,0,907
"154",1,TRUE,"dirichlet",0.100000001490116,80,1,58,0,916
"155",1,FALSE,"dirichlet",1,80,27,131,16,801
