"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5"
"1",1,FALSE,"dtree",0.100000001490116,10,1,6,11,7,0
"2",1,TRUE,"dtree",0.100000001490116,10,2,4,14,4,1
"3",1,FALSE,"dtree",1,10,1,4,12,6,2
"4",1,TRUE,"dtree",1,10,1,6,10,7,1
"5",1,FALSE,"dtree",10,10,3,7,8,5,2
"6",1,TRUE,"dtree",10,10,4,7,9,2,3
"7",1,FALSE,"dtree",100,10,4,6,6,4,5
"8",1,TRUE,"dtree",100,10,4,1,10,2,8
"9",1,FALSE,"dirichlet",0.100000001490116,10,2,4,9,5,5
"10",1,TRUE,"dirichlet",0.100000001490116,10,5,7,6,3,4
"11",1,FALSE,"dirichlet",1,10,4,2,6,6,7
"12",1,TRUE,"dirichlet",1,10,3,8,4,4,6
"13",1,FALSE,"dirichlet",10,10,6,4,9,3,3
"14",1,TRUE,"dirichlet",10,10,5,2,6,7,5
"15",1,FALSE,"dirichlet",100,10,8,7,4,1,5
"16",1,TRUE,"dirichlet",100,10,5,6,3,4,7
"17",1,FALSE,"dtree",0.100000001490116,20,4,1,17,1,2
"18",1,TRUE,"dtree",0.100000001490116,20,5,1,19,0,0
"19",1,FALSE,"dtree",1,20,6,0,17,2,0
"20",1,TRUE,"dtree",1,20,1,2,22,0,0
"21",1,FALSE,"dtree",10,20,1,5,13,0,6
"22",1,TRUE,"dtree",10,20,2,3,17,3,0
"23",1,FALSE,"dtree",100,20,5,4,10,2,4
"24",1,TRUE,"dtree",100,20,7,7,8,1,2
"25",1,FALSE,"dirichlet",0.100000001490116,20,2,8,14,0,1
"26",1,TRUE,"dirichlet",0.100000001490116,20,5,6,10,2,2
"27",1,FALSE,"dirichlet",1,20,5,5,8,3,4
"28",1,TRUE,"dirichlet",1,20,4,5,6,7,3
"29",1,FALSE,"dirichlet",10,20,5,5,8,3,4
"30",1,TRUE,"dirichlet",10,20,6,5,3,5,6
"31",1,FALSE,"dirichlet",100,20,5,6,4,5,5
"32",1,TRUE,"dirichlet",100,20,4,4,9,2,6
"33",1,FALSE,"dtree",0.100000001490116,30,0,2,21,2,0
"34",1,TRUE,"dtree",0.100000001490116,30,1,3,12,7,2
"35",1,FALSE,"dtree",1,30,1,2,17,3,2
"36",1,TRUE,"dtree",1,30,2,2,16,4,1
"37",1,FALSE,"dtree",10,30,3,4,10,7,1
"38",1,TRUE,"dtree",10,30,3,3,13,4,2
"39",1,FALSE,"dtree",100,30,2,4,13,2,4
"40",1,TRUE,"dtree",100,30,3,2,10,5,5
"41",1,FALSE,"dirichlet",0.100000001490116,30,1,3,13,5,3
"42",1,TRUE,"dirichlet",0.100000001490116,30,1,3,12,6,3
"43",1,FALSE,"dirichlet",1,30,4,2,11,5,3
"44",1,TRUE,"dirichlet",1,30,4,4,5,6,6
"45",1,FALSE,"dirichlet",10,30,4,4,6,4,7
"46",1,TRUE,"dirichlet",10,30,4,3,7,6,5
"47",1,FALSE,"dirichlet",100,30,5,1,10,3,6
"48",1,TRUE,"dirichlet",100,30,3,6,5,4,7
"49",1,FALSE,"dtree",0.100000001490116,40,0,0,13,12,0
"50",1,TRUE,"dtree",0.100000001490116,40,0,3,8,13,1
"51",1,FALSE,"dtree",1,40,0,2,8,14,1
"52",1,TRUE,"dtree",1,40,0,4,13,7,1
"53",1,FALSE,"dtree",10,40,1,3,12,9,0
"54",1,TRUE,"dtree",10,40,0,4,6,12,3
"55",1,FALSE,"dtree",100,40,2,10,3,7,3
"56",1,TRUE,"dtree",100,40,4,4,8,6,3
"57",1,FALSE,"dirichlet",0.100000001490116,40,1,3,10,8,3
"58",1,TRUE,"dirichlet",0.100000001490116,40,0,5,10,6,4
"59",1,FALSE,"dirichlet",1,40,3,4,7,7,4
"60",1,TRUE,"dirichlet",1,40,3,4,8,7,3
"61",1,FALSE,"dirichlet",10,40,7,1,2,10,5
"62",1,TRUE,"dirichlet",10,40,0,7,9,5,4
"63",1,FALSE,"dirichlet",100,40,8,5,5,4,3
"64",1,TRUE,"dirichlet",100,40,4,4,10,6,1
"65",1,FALSE,"dtree",0.100000001490116,50,0,2,10,10,3
"66",1,TRUE,"dtree",0.100000001490116,50,0,1,15,8,1
"67",1,FALSE,"dtree",1,50,0,3,11,9,2
"68",1,TRUE,"dtree",1,50,0,0,14,11,0
"69",1,FALSE,"dtree",10,50,0,2,12,7,4
"70",1,TRUE,"dtree",10,50,1,3,9,11,1
"71",1,FALSE,"dtree",100,50,2,4,9,8,2
"72",1,TRUE,"dtree",100,50,0,5,6,10,4
"73",1,FALSE,"dirichlet",0.100000001490116,50,1,2,14,3,5
"74",1,TRUE,"dirichlet",0.100000001490116,50,1,0,16,6,2
"75",1,FALSE,"dirichlet",1,50,6,2,7,7,3
"76",1,TRUE,"dirichlet",1,50,2,8,5,6,4
"77",1,FALSE,"dirichlet",10,50,7,6,5,4,3
"78",1,TRUE,"dirichlet",10,50,6,4,6,5,4
"79",1,FALSE,"dirichlet",100,50,8,3,5,2,7
"80",1,TRUE,"dirichlet",100,50,1,2,8,6,8
"81",1,FALSE,"dtree",0.100000001490116,60,0,0,19,4,2
"82",1,TRUE,"dtree",0.100000001490116,60,0,1,15,6,3
"83",1,FALSE,"dtree",1,60,0,0,20,4,1
"84",1,TRUE,"dtree",1,60,0,0,17,6,2
"85",1,FALSE,"dtree",10,60,1,0,14,8,2
"86",1,TRUE,"dtree",10,60,0,0,18,4,3
"87",1,FALSE,"dtree",100,60,1,1,7,9,7
"88",1,TRUE,"dtree",100,60,1,2,9,6,7
"89",1,FALSE,"dirichlet",0.100000001490116,60,0,1,16,7,1
"90",1,TRUE,"dirichlet",0.100000001490116,60,2,0,16,2,5
"91",1,FALSE,"dirichlet",1,60,5,1,10,3,6
"92",1,TRUE,"dirichlet",1,60,1,1,11,7,5
"93",1,FALSE,"dirichlet",10,60,3,4,7,6,5
"94",1,TRUE,"dirichlet",10,60,2,1,8,7,7
"95",1,FALSE,"dirichlet",100,60,4,8,6,5,2
"96",1,TRUE,"dirichlet",100,60,1,3,6,4,11
"97",1,FALSE,"dtree",0.100000001490116,70,0,0,22,3,0
"98",1,TRUE,"dtree",0.100000001490116,70,0,0,21,3,1
"99",1,FALSE,"dtree",1,70,0,0,22,0,3
"100",1,TRUE,"dtree",1,70,0,0,23,2,0
"101",1,FALSE,"dtree",10,70,0,0,17,5,3
"102",1,TRUE,"dtree",10,70,0,0,24,0,1
"103",1,FALSE,"dtree",100,70,3,3,8,7,4
"104",1,TRUE,"dtree",100,70,1,2,14,6,2
"105",1,FALSE,"dirichlet",0.100000001490116,70,0,0,13,7,5
"106",1,TRUE,"dirichlet",0.100000001490116,70,0,0,21,3,1
"107",1,FALSE,"dirichlet",1,70,4,3,12,3,3
"108",1,TRUE,"dirichlet",1,70,1,2,13,5,4
"109",1,FALSE,"dirichlet",10,70,3,5,3,7,7
"110",1,TRUE,"dirichlet",10,70,2,1,8,8,6
"111",1,FALSE,"dirichlet",100,70,5,4,3,5,8
"112",1,TRUE,"dirichlet",100,70,2,1,11,6,5
"113",1,FALSE,"dtree",0.100000001490116,80,0,0,21,2,2
"114",1,TRUE,"dtree",0.100000001490116,80,0,0,24,1,0
"115",1,FALSE,"dtree",1,80,0,0,17,2,6
"116",1,TRUE,"dtree",1,80,0,0,21,2,2
"117",1,FALSE,"dtree",10,80,0,0,18,3,4
"118",1,TRUE,"dtree",10,80,0,0,17,2,6
"119",1,FALSE,"dtree",100,80,1,3,6,11,4
"120",1,TRUE,"dtree",100,80,0,0,12,7,6
"121",1,FALSE,"dirichlet",0.100000001490116,80,0,1,17,4,3
"122",1,TRUE,"dirichlet",0.100000001490116,80,0,0,19,1,5
"123",1,FALSE,"dirichlet",1,80,0,7,9,5,4
"124",1,TRUE,"dirichlet",1,80,0,3,9,8,5
"125",1,FALSE,"dirichlet",10,80,6,3,7,1,8
"126",1,TRUE,"dirichlet",10,80,0,1,13,8,3
"127",1,FALSE,"dirichlet",100,80,10,2,5,4,4
"128",1,TRUE,"dirichlet",100,80,3,2,10,4,6
"129",1,FALSE,"dtree",0.100000001490116,90,0,0,22,1,2
"130",1,TRUE,"dtree",0.100000001490116,90,0,0,24,0,1
"131",1,FALSE,"dtree",1,90,0,1,18,3,3
"132",1,TRUE,"dtree",1,90,0,0,21,3,1
"133",1,FALSE,"dtree",10,90,0,0,19,4,2
"134",1,TRUE,"dtree",10,90,0,0,18,7,0
"135",1,FALSE,"dtree",100,90,1,2,15,6,1
"136",1,TRUE,"dtree",100,90,2,0,13,8,2
"137",1,FALSE,"dirichlet",0.100000001490116,90,0,1,16,5,3
"138",1,TRUE,"dirichlet",0.100000001490116,90,0,0,21,4,0
"139",1,FALSE,"dirichlet",1,90,3,2,13,4,3
