choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,count
1,2,3,4,5,6,7,8,9,3
1,2,3,4,5,6,7,9,8,3
1,2,3,4,5,6,8,7,9,1
1,2,3,4,5,6,8,9,7,1
1,2,3,4,5,6,9,8,7,1
1,2,3,4,5,6,9,7,8,4
1,2,3,4,5,7,6,8,9,1
1,2,3,4,5,7,8,6,9,2
1,2,3,4,5,7,9,8,6,1
1,2,3,4,5,7,9,6,8,3
1,2,3,4,5,8,7,6,9,1
1,2,3,4,5,8,7,9,6,1
1,2,3,4,5,8,6,9,7,2
1,2,3,4,5,8,9,6,7,1
1,2,3,4,5,8,9,7,6,1
1,2,3,4,6,8,7,9,5,1
1,2,3,4,6,8,9,7,5,1
1,2,3,4,7,6,5,8,9,1
1,2,3,4,7,9,5,8,6,1
1,2,3,4,8,6,7,9,5,1
1,2,3,4,8,6,5,7,9,1
1,2,3,4,8,7,6,5,9,1
1,2,3,4,8,7,6,9,5,1
1,2,3,4,8,7,9,5,6,1
1,2,3,4,8,7,9,6,5,1
1,2,3,4,8,5,6,7,9,1
1,2,3,4,8,9,5,7,6,1
1,2,3,4,9,6,7,8,5,6
1,2,3,4,9,6,8,7,5,1
1,2,3,4,9,6,8,5,7,3
1,2,3,4,9,6,5,7,8,2
1,2,3,4,9,7,6,8,5,1
1,2,3,4,9,7,8,5,6,1
1,2,3,4,9,8,7,6,5,1
1,2,3,4,9,8,6,7,5,3
1,2,3,4,9,8,5,6,7,1
1,2,3,4,9,5,7,8,6,2
1,2,3,4,9,5,8,7,6,3
1,2,3,5,4,6,8,7,9,2
1,2,3,5,4,6,9,8,7,1
1,2,3,5,4,6,9,7,8,1
1,2,3,5,4,7,6,8,9,1
1,2,3,5,4,7,6,9,8,2
1,2,3,5,4,7,8,6,9,1
1,2,3,5,4,7,9,6,8,1
1,2,3,5,4,8,7,6,9,2
1,2,3,5,4,8,7,9,6,5
1,2,3,5,4,8,6,7,9,3
1,2,3,5,4,8,6,9,7,1
1,2,3,5,4,8,9,6,7,19
1,2,3,5,4,8,9,7,6,4
1,2,3,5,4,9,7,8,6,1
